Ref,Val,Package,PosX,PosY,Rot,Side
"C503","100n","C_0402_1005Metric",6.460000,6.880000,90.000000,bottom
"CN1","SM02B-SRSS-TB (LF)(SN)","CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN",5.100000,11.860000,0.000000,bottom
"D403","PUSB3F96X","DFN2510A-10_L2.5-W1.0-P0.50-BL",17.820000,6.110000,0.000000,bottom
"Module301","ComputeModule5-CM5","Raspberry-Pi-5-Compute-Module_GPIO",49.100000,3.750000,180.000000,bottom
"Module302","ComputeModule5-CM5","Raspberry-Pi-5-Compute-Module_HSS",49.100000,3.750000,180.000000,bottom
"R102","0R","R_0402_1005Metric",45.780000,18.880000,90.000000,bottom
"R104","10k","R_0402_1005Metric",53.540000,32.810000,90.000000,bottom
"R107","10k","R_0402_1005Metric",3.420000,7.610000,0.000000,bottom
"R108","10k","R_0402_1005Metric",4.720000,3.160000,180.000000,bottom
"R403","0R","R_0402_1005Metric",9.275000,54.300000,0.000000,bottom
"SW101","MK-11C04-G013","SW-SMD_MK-11C04-G013",52.030000,8.470000,-90.000000,bottom
"U1","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",4.235000,5.380000,180.000000,bottom
"U401","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",23.400000,43.152020,0.000000,bottom
"U402","TPD4EUSB30","USON-10_2.5x1.0mm_P0.5mm",23.387500,47.227020,0.000000,bottom
"C101","100n","C_0402_1005Metric",5.875000,27.000000,180.000000,top
"C102","100n","C_0402_1005Metric",10.125000,27.150000,0.000000,top
"C401","100n","C_0402_1005Metric",23.000000,40.775000,0.000000,top
"C501","100n","C_0402_1005Metric",12.050000,11.400000,-90.000000,top
"C502","100n","C_0402_1005Metric",16.950000,13.450000,90.000000,top
"C601","4u7","C_0805_2012Metric",10.200000,7.950000,90.000000,top
"C701","10u","C_0805_2012Metric",11.400000,14.100000,90.000000,top
"C702","100uF","CP_EIA-3528-21_Kemet-B",4.400000,12.547500,-90.000000,top
"C703","10u","C_0805_2012Metric",7.930000,11.130000,0.000000,top
"C704","10u","C_0805_2012Metric",49.090000,14.785000,0.000000,top
"C705","10u","C_0805_2012Metric",49.090000,12.810000,0.000000,top
"C706","100n","C_0402_1005Metric",47.890000,10.885000,180.000000,top
"C707","4.7nF","C_0402_1005Metric",49.740000,11.355000,180.000000,top
"C708","10u","C_0805_2012Metric",44.310000,13.550000,0.000000,top
"C709","10u","C_0805_2012Metric",40.900000,13.550000,180.000000,top
"C710","10u","C_0805_2012Metric",48.800000,47.125000,0.000000,top
"C711","10u","C_0805_2012Metric",27.950000,45.500000,180.000000,top
"C712","100n","C_0402_1005Metric",46.450000,45.470000,90.000000,top
